link,Title,Description,Price,Condition
https://tippecanoe.craigslist.org/app/d/lafayette-24-frigidaire-built-in/7403795940.html,"24"" Frigidaire built in apartment dishwasher - $100 (Lafayette)","I have a 24"" black built-in Frigidaire dishwasher in good working condition. $100",$100,good
https://tippecanoe.craigslist.org/app/d/west-lafayette-maytag-commercial-washer/7412008095.html,Maytag commercial washer and dryer - $200 (West Lafayette),I have a good clean used Maytag washer and dryer for sale. These are the heavy duty models. First come first serve price is firm.,$200,NA
https://tippecanoe.craigslist.org/app/d/lafayette-whirlpool-16-cu-ft-over-the/7411831248.html,"Whirlpool 1.6 cu-ft Over the Range Microwave 30in 1,000 watt - $165 (Lafayette)","Bought it brand new a couple months ago, its too big for our kitchen but its like new runs great,still have installation manual and everything, this has duct capabilities and also has lights underneath to light up the range and a very powerful fan, it is a luxurious yet rather large, sturdy beast , $165 Or Best Offer I can deliver anywhere in the Lafayette, IN area!!!",$165,NA
https://tippecanoe.craigslist.org/app/d/lafayette-bar-blender/7411764397.html,Bar Blender - $45 (Lafayette),Hamilton Beach bar blender with ½ gallon stainless steel blending container.,$45,excellent
https://tippecanoe.craigslist.org/app/d/delphi-microwave-oven/7411719229.html,NA,NA,NA,NA
https://tippecanoe.craigslist.org/app/d/west-lafayette-cast-iron-fireplace/7411705051.html,Cast Iron Fireplace Insert - $250 (West Lafayette),"Heavy cast iron fireplace insert. Needs cleaned up. If you can move it, you can have it! Scrappers welcome also!",$250,excellent
https://tippecanoe.craigslist.org/app/d/west-lafayette-mini-refrigerator/7411704439.html,Mini Refrigerator - $175 (West Lafayette),Works like new!,$175,like new
https://tippecanoe.craigslist.org/app/d/lafayette-waring-commercial-grill/7411291650.html,Waring Commercial grill - $45 (Lafayette),"Waring Commercial Grill. Ideal for tortillas, pancakes, crepes, etc.",$45,excellent
https://tippecanoe.craigslist.org/app/d/monticello-cabinet/7409643600.html,CABINET - $35 (Monticello),"Small floor cabinet with laminate top. Dimensions are 21 inches wide, 18 inches deep, 19 inches tall. Door is 17 inches wide, 13 inches tall. Had it made by a cabinet maker to set our mini refrigerator on it. Excellent condition. Price is $35.00. Pick up must be in Monticello, Indiana.",$35,excellent
https://tippecanoe.craigslist.org/app/d/lafayette-lamp/7403303606.html,Lamp - $15 (Lafayette),Cool old light with candle light in base . Very antiqueee.. seven six five five eight six- nine two four eight call or text anytime 15.00 obo,$15,NA
https://tippecanoe.craigslist.org/app/d/lafayette-tall-cabinet-cherry-wood/7403326424.html,Tall cabinet cherry wood - $15 (Lafayette),6ft tall cabinet cherry wood great potential. Seven six five five eight six- nine two four eight. Call or text anytime... 15 or best offer,$15,NA
https://tippecanoe.craigslist.org/app/d/electric-stove-and-microwave/7410489494.html,Electric stove and microwave - $1,"Stove$60Microwave $30Or make an offerWoking perfectly, bought new so no need for this.",$1,NA
https://tippecanoe.craigslist.org/app/d/lafayette-jenn-air-cg206b-natural-gas/7407290569.html,NA,NA,NA,NA
https://tippecanoe.craigslist.org/app/d/new-market-heater/7410233161.html,Heater - $20 (New Market),"2 heaters for sale. 1 tall black/grey heater with remote $20, shuts itself off. And, a $10 for a smaller white heater w/old time radiator look. Both work well.",$20,good
https://tippecanoe.craigslist.org/ppd/d/valdosta-hvac-heat-pumps-wholesale/7409574971.html,HVAC Heat Pumps Wholesale Direct to YOU (Valdosta),"We are distributors of the #1 selling brand of HVAC equipment in the United States. The prices below include a 10 kW heat strip. The 14 SEER split system heat pumps include the outdoor heat pump condenser, air handler and heat strips. The 14 SEER package heat pumps are an all in one system and include the heat strips. We sell every SEER and AFUE energy efficiency available. We also sell gas packs, air conditioners, gas furnaces, coils, mobile home systems, thermostats, pads, line sets and much more. If you are not sure what you need, contact us, we will be glad to assist you in deciding which product is right for you. We accept all major credit cards, debit cards and PayPal. Call for shipping rates.14 SEER Split System Heat Pump with Heat Strips1.5 Ton - $21902.0 Ton - $22302.5 Ton - $24983.0 Ton - $27403.5 Ton - $30864.0 Ton - $35535.0 Ton - $403914 SEER H Model Package Heat Pumps with Heat Strips2.0 Ton - $27362.5 Ton - $28353.0 Ton - $30903.5 Ton - $32274.0 Ton - $36505.0 Ton - $3867Office 229 316 1266 Open 8:00 AM to 5:00 PM Mon thru FridayAfter hours Cell 229 740 7935 Text US we like to Chat about AC'sValdosta, GA https://www.godirectappliance.com/",NA,NA
https://tippecanoe.craigslist.org/app/d/lafayette-maytag-washer-and-dryer/7409309282.html,Maytag Washer and Dryer - $200 (South Lafayette),Maytag large capacity washer and dryer. Very clean and works great.,$200,excellent
https://tippecanoe.craigslist.org/app/d/west-lafayette-apt-frig/7407662238.html,Apt Frig - $45 (Lafayette),I have a small apt frig. Frig & Freeze works fine. Had in a travel trailer. Not used much.,$45,excellent
https://tippecanoe.craigslist.org/ppd/d/crawfordsville-appliances-furniture/7407635128.html,"APPLIANCES-FURNITURE-ELECTRONICS-BEDDING-HUGE SHOWROOM-ALL IN STOCK! - $12,345 (CRAWFORDSVILLE)","HERE AT ""Caldwells Furniture Bedding Appliances and Electronics"" WE HAVE OVER 27,000 SQUARE FEET OF SHOWROOM SPACE FULL OF HOME FURNISHINGS, APPLIANCES, AND ELECTRONICS. IN BUSINESS SINCE 2015 WE HAVE JUST EXPANDED OUR SHOWROOM TO BRING YOU THE BIGGEST SELECTION IN THE STATE OF INDIANA! EVERYTHING WITH NO WAIT! SEE IT ON OUR FLOOR, TAKE IT HOME TODAY! OVER 1,000 MATTRESSES IN STOCK, OVER 500 FREEZERS OF EVERY TYPE AND STYLE ARE IN STOCK WITH NO WAIT! SEVERAL TYPES OF FINANCING AVAILABLE! INSTANT APPROVAL. SUPPLIES ARE MOVING FAST!!!VOTED Montgomery County's NUMBER ONE HOME FURNISHINGS STORE 2020 AND 2021!LOCATED AT 1428 Darlington Ave, Crawfordsville IN-47933765-307-2214","$12,345",new
https://tippecanoe.craigslist.org/app/d/lafayette-52-ceiling-fan/7401432342.html,"52"" ceiling fan - $5 (lafayette)","runs,but not as fast as new.from smokers room has tobacco residue on it.",$5,fair
https://tippecanoe.craigslist.org/app/d/stockwell-new-portable-electric-oil/7394881345.html,New Portable Electric oil filled Heater - $40 (Lafayette),"New at Amazon $75This is a New - Never Used - PELONIS Electric 1500W Oil Filled Radiator Heater with Safety Protection, LED Display, 3 Heat Settings and Five Temperature Settings. Perfect for for Home or Office.  Color: Black with Concise Silver Classic Style.•	[Efficient Heating & Multiple settings] Three heating options (900w, 1500w, mode) and five temperature settings (65F, 70F, 75F, 80F and 85F) to achieve customized temperature settings with maximized efficiency and warmth. Enjoying user friendly features including the LCD screen, programmable thermostat and 24-hour Timer. •	[Portability] 4- swivel Caster Wheels capable of 360°rotation provides easy portability to move your Pelonis space heater from room to room. •	[Safety Features] Power indicator light lets you know the unit is ON, built-in safety, over-heat protection and tip-over safety switch shuts heater off if accidentally knocked over. •	[Quiet Operation] Enjoy peace and quiet room while keeping your space warm and cozy without annoying heater sounds that disturbs you.  It offers warmth more gentle and lasting but usually takes more time than fan heaters because its heat-conducting medium is oil. •	Dimensions: 13.78 x 11.02 x 25.19 inches•	Weight: 16.09 pounds",$40,new
https://tippecanoe.craigslist.org/app/d/crawfordsville-rheem-classic-lp-gas/7406997342.html,Rheem classic LP gas furnace 92%+ efficient - $575 (Crawfordsville),"High efficiency furnace originally installed in 2005. All works great. Replaced due to air conditioner and upgrade to heat pump. Includes manuals. Originally natural gas converted to LP. Conversion kit parts included with the sale. Furnace is down flow 90,000 BTU. Delivery may be available for additional fee.Great condition.Cash only.If interested, please call or text three one seven 205 6749.",$575,NA
https://tippecanoe.craigslist.org/app/d/lafayette-blackstone-griddle/7406921060.html,Blackstone Griddle - $350,"36 in Blackstone, bought new in august, dont use as much as thought i would, cover and utencil set includedasking $350, OBO",$350,like new
https://tippecanoe.craigslist.org/app/d/west-lafayette-french-press/7406519592.html,French Press - $15 (Lafayette),"Never used french press, originally $30ish dollars, dm with offers",$15,NA
https://tippecanoe.craigslist.org/app/d/crawfordsville-whirlpool-electric-dryer/7406449634.html,Whirlpool electric dryer - $175,Works great no issues,$175,NA
https://tippecanoe.craigslist.org/app/d/west-lafayette-dryer/7406367924.html,Dryer - $350 (Wl),LG large capacity dryer. 4 years old. Used 1year. 3 prong plug. Top of the line model $750 new,$350,like new
https://tippecanoe.craigslist.org/app/d/attica-pleasant-hearth-gas-log/7406119013.html,pleasant hearth gas log - $75 (Attica),Dual fuel 18inch gas log set new in box these are on sale at Lowes for 245 propane or natural gas,$75,new
https://tippecanoe.craigslist.org/app/d/west-lafayette-microwave-hamilton-beach/7405852549.html,Microwave Hamilton Beach - $35 (West Lafayette),Almost brand new microwave. Needs to be picked up. 35 OBO. Needs to be picked up,$35,like new
https://tippecanoe.craigslist.org/app/d/buck-creek-samsung-gas-dryer/7405576370.html,samsung gas dryer - $300 (Buck Creek),Nice Samsung dryer. Bough as a set but then realized I didn’t have gas hookups.  Please use text message to reach me  show contact info,$300,like new
https://tippecanoe.craigslist.org/app/d/buck-creek-whirlpool-washer-dryer-set/7405574459.html,whirlpool washer dryer set - $450 (Buck Creek),Nice whirlpool washer dryer set.Please text message only  show contact info,$450,like new
https://tippecanoe.craigslist.org/app/d/hillsboro-whirlpool-washing-machine/7404666598.html,Whirlpool washing machine - $400 (Hillsboro),"Whirlpool washer, approximately 5 years old,white ,a few scratches on the right side, good condition.$400 obo.",$400,good
https://tippecanoe.craigslist.org/app/d/west-lafayette-ge-dishwasher/7393840052.html,GE Dishwasher - $160 (West Lafayette),Works goodNeeds wheels and a little cleaning,$160,NA
https://tippecanoe.craigslist.org/app/d/west-lafayette-hunter-ceiling-fan/7404313498.html,Hunter Ceiling Fan (West Lafayette),52 inch Hunter ceiling fan. Brushed nickel with brown blades.Call or text Dawn  show contact info,NA,excellent
https://tippecanoe.craigslist.org/app/d/lafayette-magic-chef/7404152391.html,Magic chef - $200 (Lafayette),One of the ovens I took care of a multi unit that I turned into a single-family home have everything and works great!,$200,good
https://tippecanoe.craigslist.org/app/d/lafayette-gas-oven/7404151763.html,Gas oven - $200 (Lafayette),Ovens for sale that I took out of a multiunit I bought and turned into a single family home.,$200,good
https://tippecanoe.craigslist.org/app/d/lafayette-whirlpool-over-the-range/7393233034.html,4-Whirlpool over the range microwave oven - $50 (Lafayette),"I have 4 Whirlpool over the range microwave oven. They all work great and we'll taking care of. I have all the mounting brackets, paperwork,box. $50ea or all 4-$150",$50,excellent
https://tippecanoe.craigslist.org/app/d/veedersburg-refrigerator/7403178731.html,refrigerator - $180 (Veedersburg),GE side by side fridge/freezer765-585-109nine,$180,good
https://tippecanoe.craigslist.org/app/d/west-lafayette-white-ge-electric-range/7402564652.html,White GE Electric Range - $200 (Lafayette),White GE electric range in very good condition.  Self-clean feature.  Everything works fine.  Only selling because it's not needed anymore.  Also selling a white Roper coin-op washer/dryer set.,$200,excellent
https://tippecanoe.craigslist.org/app/d/lafayette-whirlpool-washing-machine/7402486422.html,Whirlpool Washing Machine Clothes Washer White needs motherboard - $25 (Lafayette),"NEED GONE! Come get it please!Great physical condition, solid motor, seems to need a new motherboard/control panel - does not work consistently without cycling power.Whirlpool Model: WFW8740DW1dishwasher kitchenbosch LG Samsung Maytag GE appliance",$25,good
https://tippecanoe.craigslist.org/app/d/monticello-ge-washer-and-electric-dryer/7401801882.html,GE washer and electric dryer - $250 (Monticelllo),GE washer and electric dryer. Dryer will need a heating element. Got new set is reason for sale.,$250,like new
https://tippecanoe.craigslist.org/app/d/lafayette-lg-front-load-washer-and-dryer/7395571352.html,LG front load washer and dryer - $200 (Lafayette indiana),4.3 cu ft front load washer and dryer Washer leaks and dryer is in good working conditionWith pedistals,$200,good
https://tippecanoe.craigslist.org/app/d/west-lafayette-refrigerator-for-sale/7394284415.html,REFRIGERATOR FOR SALE - $200 (Lafayette),"USED REFRIGERATORS GREAT FOR LANDLORDS.  SEVERAL UNITS TO CHOOSE FROM SINGLE DOOR, SIDE BY SIDE  SMALL AND LARGE.",$200,NA
https://tippecanoe.craigslist.org/app/d/west-lafayette-double-door-fridge/7394284654.html,DOUBLE DOOR FRIDGE - $300 (Lafayette),DOUBLE DOOR STAINLESS EXCELLENT CONDITION.,$300,excellent
https://tippecanoe.craigslist.org/app/d/west-lafayette-stainless-double-door/7394284993.html,STAINLESS DOUBLE DOOR FRIDGE - $300 (Lafayette),DOUBLE DOOR GOOD CONDITION,$300,excellent
https://tippecanoe.craigslist.org/app/d/west-lafayette-washer-dryer-set/7394285186.html,WASHER/DRYER SET - $300 (Lafayette),GOOD CONDITION SEVERAL TO CHOOSE FROM,$300,excellent
https://tippecanoe.craigslist.org/app/d/colfax-electric-stove/7399528513.html,Electric Stove - $50 (Colfax),"Works great, just did renovation",$50,NA
https://tippecanoe.craigslist.org/app/d/kenmore-stainless-steel-microwave-more/7399222376.html,Kenmore Stainless Steel Microwave + more kitchen supplies - $50 (West Lafayette),"1.3 cu ft Kenmore stainless steel faced 1300W microwave with turntable. It was $130 and still is like new. The 1.1 cu ft Black and Decker 1100W is slightly smaller but has the same style, stainless fascia and black cabinet. Kenmore 55; Black and Decker 50.Also have lots more kitchen appliances..Slow Cooker plus lots more kitchen and household items...Crockpot / Slow Cooker with large removable ceramic bowl. This is a $25 appliance so here's a great excellent working large crock pot slow cooker for 10 bux!Clean. Excellent condition. Everything I'm offering is working. hair dryer (new) 2.00Curling iron 2.00Lean Mean Fat Reducing Grilling Machine 5.00Quesadilla maker. Like new. Easy no stick surface. Makes six pieces. 10.00Sandwich/Waffle maker/Grill. New in box! 12.00Espresso maker 8.00Toaster oven black or white 15.00Chopping board 5.00Ironing board with pad and cover included 5.00Baby Cakes brand donut maker 5.00---I have more than listed. All CLEAN and WORKING condition. Only SOME items are listed. I still have everything listed! (I edit the ad if something is sold.)---Rolling pin 5.0060 minutes wind up kitchen timer 1.00carrot grater 0.501.5 bushel Sterilite laundry basket 4.00Toastmaster waffle iron 12.00Bathroom Scale - digital readout 5.00Rival 32-ounce Hot Pot Express Great for cooking soups and much more, it boils water faster than a microwave. $20 new and still NEW In Box! 9.00ice cube tray (0.50) and including tray bin for 1.00dish drying rack 3.00matching set of three martini glasses or assorted four count wine glasses 2.00matching set of eight octagonal-sided drinking glasses 3.00Easy crank food slicer, with transparent catch bowl 3.00clothes iron 7.00ironing board with padded cover (the padded cover alone was $12!) 10.00water filter pitcher with filter included 5.00portable water bottle with cooler jacket NEW 1.005-set measuring cups, black 2.002-liter Coleman thermos 1.50coffee decanter (thermos serving pitcher for coffee) 8.00vegetable chopper 2.00cold drink serving pitcher with lid (strainer or open flow) 1.5012-cup coffee maker with timer, black 15.0010-cup coffee maker 6.004-cup coffee maker 5.001.5 gallon per minute low-flow water-saving showerhead, three flow options 2.002-quart plastic serving pitcher ($8 at Target) 2.006-muffin tins 3.00 each12-muffin tins 6.00 each6-sided grater 1.50George Foreman lean mean fat-reducing grilling machine with bun warmer Model GR30-BW 10.00set of four beautiful floral teacup saucers 2.00Hand blender 15.00saucepan with lid 5.00frying pan with lid 2.0012"" wok (use on stovetop) 10.00rectangular 2"" deep aluminum baking pan 2.00tea kettle with lid 6.00buffet cooker/server (fits a tea kettle or saucepan) 4.00kitchen utensils (fork, spoon, knife, eight each) 10.00umbrella 3.00small portable charcoal grill (Was $23 and is still NEW) 7.0028-quart Coleman Cooler (exact model shown except color is dark forest green) 8.00Spiral Slicer 8.00Blender, white base and clear canister 12.00Ceramic miniature vases, each 3.00All are clean and in good or excellent condition. I have a lot of things for sale so not all may be listed and definitely not all pictured. Call me or txt me.Isn't crazy how people spend three to five times as much for having to pull it new out of a box? They're not helping the environment either. You on the other hand, are a smart responsible consumer, so thank you for checking out my ad.",$50,like new
https://tippecanoe.craigslist.org/app/d/refrigerator-ice-maker-tray/7399177248.html,Refrigerator Ice Maker + Tray - $10 (West Lafayette),"Kenmore Refrigerator Freezer Ice Maker with tray - the catch bin is included. I know ice is valuable to a lot of people but I don't use it so I removed it from my freezer. It's super convenient if you use a lot of ice!Alternatively, I would be willing to sell the whole fridge with ice maker and then buy one without the ice machine.Kenmore Refrigerator Model 106.8692291 (1068692291, 106 8692291)  I'll remove my ad when it's gone.----2017723 wayang Gambar",$10,excellent
https://tippecanoe.craigslist.org/app/d/vac-kitchen-household-small-appliances/7399160736.html,"Vac, Kitchen & Household Small Appliances, more... - $29 (West Lafayette)","Upright bagless vac with hose attachments 29Quesadilla maker. Like new. Easy no stick surface. Makes six slices! 9Lots of kitchen and household items...Many more than listed! All CLEAN and WORKING condition. Only SOME items are pictured. I still have everything listed! (I edit the ad if something is sold.)Crock pot, 7.00Sandwich/Waffle maker/Grill. New in box! 12.00Toaster oven, 20.00Wood chopping board 5.00Baby Cakes donut maker 8.00Rival 4071-WN 32-ounce Hot Pot Express Great for cooking soups and much more, it boils water faster than a microwave.  $20 new and still NEW In Box! 9.00Rolling pin 5.00hair dryer 5.00carrot grater 0.501.5 bushel Sterilite laundry basket 4.00Toastmaster waffle iron 12.00Bathroom Scale - digital readout 5.00ice cube tray (0.50) and including tray bin for 1.00dish drying rack 3.00matching set of three martini glasses or assorted four count wine glasses 2.00matching set of eight stemware set drinking glasses 5.00Easy crank food slicer, with transparent catch bowl  3.00clothes iron 5.00ironing board with padded cover (the padded cover alone was $12!) 10.00water filter pitcher with filter included 5.00portable water bottle with cooler jacket NEW 1.005-set measuring cups, black 2.002-liter Coleman thermos 1.50coffee decanter (thermos serving pitcher for coffee) 8.00vegetable chopper 2.00cold drink serving pitcher with lid (strainer or open flow) 1.5012-cup coffee maker with timer, black 15.0010-cup coffee maker 6.004-cup coffee maker 5.001.5 gallon per minute low-flow water-saving showerhead, three flow options 2.002-quart plastic serving pitcher ($8 at Target) 2.006-muffin tins 3.00 each12-muffin tins 6.00 each6-sided grater 1.50George Foreman lean mean fat-reducing grilling machine with bun warmer Model GR30-BW 10.00set of four beautiful floral teacup saucers 2.00Hand blender 10.00saucepan with lid 5.00frying pan with lid 4.0012"" wok (use on stovetop) 10.00rectangular 2"" deep aluminum baking pan 2.00tea kettle with lid 6.00buffet cooker/server (fits a tea kettle or saucepan) 4.00kitchen utensils (fork, spoon, knife, eight each) 10.00umbrella 3.00small portable charcoal grill (Was $23 and is still NEW) 7.0028-quart Coleman Cooler 10.00Spiral Slicer 8.00Blender, white base and clear canister 15.00Ceramic miniature vases, each 3.00All are clean and in good or excellent condition. I have a lot of things for sale so not all may be listed and definitely not all pictured. Call me or txt me.*Walmart items are made cheaper because they're a lower quality version of what's sold elsewhere. You're paying less because you're getting less.",$29,new
https://tippecanoe.craigslist.org/app/d/hot-pot-air-fryer-rice-cooker-more/7399152116.html,"Hot Pot, Air Fryer, Rice Cooker (& more Small Appliances). - $10 (West Lafayette)","● Hot Pot, light blue, electric, 10.● Air Fryer, 30.● 8-cup rice cooker and slow cooker. It was $37 and still is clean as new. 20.●●-----◇-----◇-----◇-----◇-----◇-----Lots of kitchen and household items...Many more than listed! All CLEAN and WORKING condition. Crock pot, 7.00Sandwich/Waffle maker/Grill. New in box! 12.00Wood chopping board 5.00Baby Cakes donut maker 8.00Rolling pin 5.00-----◇-----◇-----◇-----◇-----◇-----Only some items are pictured. I still have everything listed! (I edit the ad if something is sold.)-----◇-----◇-----◇-----◇-----◇-----hair dryer 5.00carrot grater 0.501.5 bushel Sterilite laundry basket 4.00Toastmaster waffle iron 12.00Bathroom Scale - digital readout 5.00ice cube tray (0.50) and including tray bin for 1.00dish drying rack 3.00matching set of three martini glasses or assorted four count wine glasses 2.00matching set of eight octagonal-sided drinking glasses 3.00Easy crank food slicer, with transparent catch bowl  3.00clothes iron 5.00ironing board with padded cover (the padded cover alone was $12!) 10.00water filter pitcher with filter included 5.00portable water bottle with cooler jacket NEW 1.005-set measuring cups, black 2.002-liter Coleman thermos 1.50coffee decanter (thermos serving pitcher for coffee) 8.00vegetable chopper 2.00cold drink serving pitcher with lid (strainer or open flow) 1.5012-cup coffee maker with timer, black 15.0010-cup coffee maker 6.004-cup coffee maker 5.001.5 gallon per minute low-flow water-saving showerhead, three flow options 2.002-quart plastic serving pitcher ($8 at Target) 2.006-muffin tins 3.00 each12-muffin tins 6.00 each6-sided grater 1.50George Foreman lean mean fat-reducing grilling machine with bun warmer Model GR30-BW 10.00set of four beautiful floral teacup saucers 2.00Hand blender 15.00saucepan with lid 5.00frying pan with lid 2.0012"" wok (use on stovetop) 10.00rectangular 2"" deep aluminum baking pan 2.00tea kettle with lid 6.00buffet cooker/server (fits a tea kettle or saucepan) 4.00kitchen utensils (fork, spoon, knife, eight each) 10.00umbrella 3.00small portable charcoal grill (Was $23 and is still NEW) 7.0028-quart Coleman Cooler (exact model shown except color is dark forest green) 8.00Spiral Slicer 8.00Blender, white base and clear canister 12.00Ceramic miniature vases, each 3.00All are clean and in good or excellent condition. I have a lot of things for sale so not all may be listed and definitely not all pictured. Call me or txt me.",$10,new
https://tippecanoe.craigslist.org/app/d/pine-village-water-softener-for-sale/7398712787.html,Water softener for sale - $75,$75. Water boss softener. Tested and works good. Only few years old. Went with more specialized system.,$75,NA
https://tippecanoe.craigslist.org/app/d/west-lafayette-qt-aluminum-crock-pot/7398248276.html,6 qt aluminum crock pot brand new in box - $40 (Lafayette),Brand New never opened retails for $80 want $40 to get my kid diapers text me 765 775 7 4 7 5,$40,NA
https://tippecanoe.craigslist.org/app/d/west-lafayette-ge-profile-over-the/7385164917.html,GE Profile over the range Microwave - $75 (west lafayette),GE profile over the range speed cook convection microwave  is very clean and work very well as new ask for$75cash only if you are interested please email me thank you,$75,like new
https://tippecanoe.craigslist.org/app/d/battle-ground-excellant-maytag-electric/7397328005.html,Excellant maytag electric dryer - $100 (Battle ground),"Runs great, but no pigtail, and if needed to, I can deliver it for a price, depends how far",$100,excellent
https://tippecanoe.craigslist.org/app/d/west-lafayette-keurig-classic/7396757182.html,Keurig K-Classic - $60 (West Lafayette),Red one - Keurig K-Classic Single-Serve K-Cup Pod Coffee Maker - K50https://www.amazon.com/Keurig-Purposed-Coffee-Maker-Rhubarb/dp/B06X92DQWN/ref=sr_1_10?dchild=1&keywords=Keurig+K50+red&qid=1634750790&s=home-garden&sr=1-10,$60,like new
https://tippecanoe.craigslist.org/app/d/westpoint-whisperkool/7396012608.html,WhisperKool - $500,Wine cellar cooling system.,$500,NA
https://tippecanoe.craigslist.org/app/d/dayton-oklahoma-joes-smoker/7395113887.html,Oklahoma Joe's smoker - $200,Never been used Oklahoma Joe's smoker and already assembled. Any questions contact me at 765-413-22eight5,$200,new
https://tippecanoe.craigslist.org/app/d/brookston-whirlpool-gas-dryer/7395063868.html,Whirlpool Gas Dryer - $200 (Brookston),"Whirlpool largest capacity gas dryer. Works well, but moved into new home w/o gas line to laundry room this summer.  So selling, want it gone.$200 OBO. Thanks for looking",$200,NA
